Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,90,82,8,0,90,82,8,0,84,64,20,0
T1,200,89,111,0,200,89,111,0,132,91,41,0
T2,6,6,0,0,6,6,0,0,24,6,18,0
T3,16,16,0,0,16,16,0,0,44,22,22,0
T4,1,1,0,0,1,1,0,0,20,1,19,0
