Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,90,85,5,0,90,85,5,0,84,72,12,0
T1,200,165,35,0,200,165,35,0,132,115,17,0
T2,6,6,0,0,6,6,0,0,24,10,14,0
T3,16,16,0,0,16,16,0,0,44,31,13,0
T4,1,1,0,0,1,1,0,0,20,6,14,0
