Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,33,6,27,0,5,1,4,0,13,1,12,0
T1,26,3,23,0,35,6,29,0,33,6,27,0
T2,4,2,2,0,13,5,8,0,15,5,10,0
T3,28,5,23,0,7,2,5,0,13,2,11,0
T4,2,1,1,0,9,3,6,0,19,3,16,0
T5,26,4,22,0,11,4,7,0,18,4,14,0
