Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,1,1,0,0,1,1,0,0,45,1,44,0
T1,104,12,92,0,104,12,92,0,129,12,117,0
T2,12,2,10,0,12,2,10,0,54,2,52,0
T3,19,5,14,0,19,5,14,0,70,5,65,0
T4,120,16,104,0,120,16,104,0,102,16,86,0
T5,17,4,13,0,17,4,13,0,63,4,59,0
T6,148,28,120,0,148,28,120,0,148,28,120,0
T7,14,3,11,0,14,3,11,0,49,3,46,0
T8,40,6,34,0,40,6,34,0,72,6,66,0
T9,120,20,100,0,120,20,100,0,118,20,98,0
