Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,90,10,80,0,90,10,80,0,84,10,74,0
T1,200,16,184,0,200,16,184,0,132,16,116,0
T2,6,2,4,0,6,2,4,0,24,2,22,0
T3,16,4,12,0,16,4,12,0,44,4,40,0
T4,1,1,0,0,1,1,0,0,20,1,19,0
