Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,90,37,53,0,90,37,53,0,84,39,45,0
T1,200,44,156,0,200,44,156,0,132,48,84,0
T2,6,4,2,0,6,4,2,0,24,4,20,0
T3,16,10,6,0,16,10,6,0,44,9,35,0
T4,1,1,0,0,1,1,0,0,20,1,19,0
