StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,336.79999999999745,336.79999999999745,1817.8426657313225,1000.5599999999998
1,2,379.5199999999968,336.79999999999745,1817.8426657313225,1000.5599999999998
2,2,470.2399999999989,336.79999999999745,1891.4896667835847,1000.56
3,2,454.15999999999997,336.7999999999993,1891.4896667835847,1000.56
4,1,1225.0400000000009,386.880000000001,2165.6708598501746,1629.4399999999998
5,1,1225.0400000000004,454.16000000000076,2165.6708598501746,1629.4399999999998
6,1,520.3199999999988,454.15999999999894,1973.5533157429054,1629.4399999999998
7,1,404.0799999999981,386.88000000000056,1973.5533157429054,1629.4399999999998
8,0,1454.1599999999999,454.15999999999985,1763.9999999999998,1763.9999999999998
9,0,1454.1599999999999,454.16000000000076,1763.9999999999998,1763.9999999999998
