StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,458.3379999999888,326.25800000003073,1896.3151145038169,950.24
1,2,458.3379999999888,326.25800000003073,1896.3151145038169,950.24
2,2,388.25800000003073,326.25800000003073,1819.1248854961837,950.2399999999999
3,2,403.058,326.25800000003073,1819.1248854961837,950.2399999999999
4,1,529.6979999999749,473.77800000004936,2159.336497423519,1713.6
5,1,529.6979999999749,473.77800000004936,2159.336497423519,1713.6
6,1,548.658000000054,473.77800000004936,2242.713215628008,1713.6
7,1,548.6579999998212,473.77800000004936,2242.713215628008,1713.6
8,0,625.4579999998678,473.77800000004936,1867.2000000000003,1867.2000000000003
9,0,625.4580000001006,473.77800000004936,1867.2000000000003,1867.2000000000003
