StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,396.71999999997206,336.79999999993015,1817.8426657313225,1000.5599999999998
1,2,396.71999999973923,336.80000000001746,1817.8426657313225,1000.5599999999998
2,2,470.2399999999907,336.80000000001746,1891.4896667835847,1000.56
3,2,470.2399999999907,336.79999999993015,1891.4896667835847,1000.56
4,1,1225.0400000000955,454.1599999999162,2165.6708598501746,1629.4399999999998
5,1,1225.04,454.1600000000908,2165.6708598501746,1629.4399999999998
6,1,520.3199999999488,454.1600000000908,1973.5533157429054,1629.4399999999998
7,1,549.3600000001024,454.1600000000908,1973.5533157429054,1629.4399999999998
8,0,1454.160000000018,454.1600000000908,1763.9999999999998,1763.9999999999998
9,0,1454.1599999999162,454.1600000000908,1763.9999999999998,1763.9999999999998
