StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,380.64000000059605,174.96000000007916,603.2,470.87999999999994
1,2,380.64000000059605,174.96000000007916,603.2,470.87999999999994
2,2,1146.4800000000032,241.12000000011176,632.8,470.88
3,2,554.3200000000215,241.12000000011176,632.8,470.88
4,1,373.2800000000134,291.20000000018626,884.4799999999999,705.6
5,1,408.5600000000013,291.20000000018626,884.4799999999999,705.6
6,1,1234.800000000003,386.88000000081956,807.9999999999999,705.6
7,1,1151.4400000000605,386.88000000081956,807.9999999999999,705.6
8,0,585.199999999837,454.16000000108033,nan,705.5999999999999
9,0,585.199999999837,454.16000000108033,nan,705.5999999999999
