StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,322.09800000069663,133.3780000002589,601.6,451.84000000000003
1,2,322.09800000069663,133.3780000002589,601.6,451.84000000000003
2,2,477.93800000008196,221.7780000003986,574.5600000000001,451.84000000000003
3,2,473.7780000003986,221.7780000000057,574.5600000000001,451.84000000000003
4,1,398.89800000051036,326.25800000038,919.2,746.8800000000001
5,1,403.0580000001937,326.25800000038,919.2,746.8800000000001
6,1,1171.0580000006594,396.97800000058487,957.1200000000001,746.88
7,1,1171.0580000006594,396.97800000058487,957.1200000000001,746.88
8,0,610.01800000004,473.7780000003986,nan,746.88
9,0,611.938000000001,473.7780000003986,nan,746.88
