StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,1365.559999999823,547.5600000000559,1087.1999999999998,860.64
1,2,1412.2000000000116,547.5600000000559,1087.1999999999998,860.64
2,2,1463.6399999998976,547.5600000000559,1175.2799999999997,860.64
3,2,1450.3600000000006,547.5600000000559,1175.2799999999997,860.64
4,1,1563.9600000000064,699.320000000298,1646.3999999999999,1315.92
5,1,1455.4000000000087,699.320000000298,1646.3999999999999,1315.92
6,1,1440.0399999998044,699.320000000298,1626.4800000000002,1315.92
7,1,1491.4000000000087,699.320000000298,1626.4800000000002,1315.92
8,0,904.3600000008009,699.320000000298,nan,1315.92
9,0,995.48,699.320000000298,nan,1315.92
