StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,1269.7280000000028,451.7280000000028,1845.04,1250.128
1,2,1246.9760000000024,451.7280000000028,1845.04,1250.128
2,2,1240.3680000000168,451.7280000000028,1936.0559999999998,1250.128
3,2,1240.3680000000004,451.7280000000028,1936.0559999999998,1250.128
4,1,1319.5360000000037,603.4880000000121,2308.3199999999997,2024.104
5,1,1342.2880000000587,603.4880000000121,2308.3199999999997,2024.104
6,1,1241.3200000000002,603.4880000000121,2287.736,2024.104
7,1,1463.3279999999795,603.4880000000121,2287.736,2024.104
8,0,758.2080000000001,603.4880000001285,nan,2237.0640000000003
9,0,751.568,603.4880000001285,nan,2237.0640000000003
