StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,605.8579999990761,326.25800000038,1447.36,950.24
1,2,605.8580000004731,326.25800000038,1447.36,950.24
2,2,555.4580000010319,326.25800000038,1406.8,950.2399999999999
3,2,555.4580000010319,326.25800000038,1406.8,950.2399999999999
4,1,1177.1380000000354,473.7780000003986,2020.4,1713.6
5,1,1177.1380000002682,473.7780000003986,2020.4,1713.6
6,1,653.1380000007339,473.7780000003986,2077.28,1713.6
7,1,1171.0580000000045,473.7780000003986,2077.28,1713.6
8,0,610.0180000001565,473.7780000003986,nan,1867.2000000000003
9,0,625.4580000001006,473.7780000003986,nan,1867.2000000000003
