StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,1307.3199999999997,362.3600000003353,1087.1999999999998,860.64
1,2,764.9999999999854,362.36000000004424,1087.1999999999998,860.64
2,2,1436.359999999986,437.88000000006286,1175.2799999999997,860.64
3,2,1382.8400000000838,437.88000000006286,1175.2799999999997,860.64
4,1,888.1200000000536,510.44000000006054,1646.3999999999999,1315.92
5,1,888.1199999982491,510.44000000006054,1646.3999999999999,1315.92
6,1,1462.0400000000955,589.6400000001304,1626.4800000000002,1315.92
7,1,1515.5599999999977,589.6400000001304,1626.4800000000002,1315.92
8,0,892.6800000000512,699.3200000012293,nan,1315.92
9,0,957.9600000001374,699.3200000012293,nan,1315.92
